                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.67327,                0.95139,                      1,                0.62229,             0.00022358,             0.00022358,             0.00022358
                      2,                0.12646,                0.97917,                      1,                0.58111,             0.00044183,             0.00044183,             0.00044183
                      3,                0.05496,                0.98611,                      1,                0.56554,             0.00065109,             0.00065109,             0.00065109
                      4,                0.02462,                0.97917,                      1,                 0.5702,             0.00067159,             0.00067159,             0.00067159
                      5,                0.03069,                0.98611,                      1,                0.56375,             0.00065745,             0.00065745,             0.00065745
                      6,                0.02857,                0.98611,                      1,                0.56321,             0.00064331,             0.00064331,             0.00064331
                      7,                0.01863,                0.99306,                      1,                0.56234,             0.00062918,             0.00062918,             0.00062918
                      8,                0.01654,                0.98958,                      1,                0.56131,             0.00061504,             0.00061504,             0.00061504
                      9,                0.01557,                0.98958,                      1,                0.56185,              0.0006009,              0.0006009,              0.0006009
                     10,                0.01021,                0.98958,                      1,                0.56223,             0.00058677,             0.00058677,             0.00058677
                     11,                0.00901,                0.98958,                      1,                0.56017,             0.00057263,             0.00057263,             0.00057263
                     12,                0.02776,                0.99306,                      1,                0.55941,             0.00055849,             0.00055849,             0.00055849
                     13,                0.01444,                0.99306,                      1,                0.55903,             0.00054435,             0.00054435,             0.00054435
                     14,                0.01642,                0.98958,                      1,                0.55865,             0.00053022,             0.00053022,             0.00053022
                     15,                0.01641,                0.98958,                      1,                0.56066,             0.00051608,             0.00051608,             0.00051608
                     16,                0.01151,                0.98958,                      1,                 0.5606,             0.00050194,             0.00050194,             0.00050194
                     17,                0.00707,                0.98958,                      1,                0.56147,              0.0004878,              0.0004878,              0.0004878
                     18,                0.00803,                0.98958,                      1,                0.56104,             0.00047367,             0.00047367,             0.00047367
                     19,                0.00754,                0.98958,                      1,                0.56098,             0.00045953,             0.00045953,             0.00045953
                     20,                0.00939,                0.98958,                      1,                0.56033,             0.00044539,             0.00044539,             0.00044539
                     21,                0.00759,                0.98958,                      1,                0.56033,             0.00043126,             0.00043126,             0.00043126
                     22,                0.00987,                0.98958,                      1,                0.56033,             0.00041712,             0.00041712,             0.00041712
                     23,                0.00547,                0.98958,                      1,                0.56028,             0.00040298,             0.00040298,             0.00040298
                     24,                0.00508,                0.98958,                      1,                0.56049,             0.00038884,             0.00038884,             0.00038884
                     25,                0.00507,                0.98958,                      1,                0.56066,             0.00037471,             0.00037471,             0.00037471
                     26,                0.01311,                0.98958,                      1,                 0.5599,             0.00036057,             0.00036057,             0.00036057
                     27,                0.00724,                0.98958,                      1,                 0.5599,             0.00034643,             0.00034643,             0.00034643
                     28,                0.00567,                0.99306,                      1,                0.55903,              0.0003323,              0.0003323,              0.0003323
                     29,                0.00711,                0.99306,                      1,                0.55935,             0.00031816,             0.00031816,             0.00031816
                     30,                0.00861,                0.99306,                      1,                0.55908,             0.00030402,             0.00030402,             0.00030402
                     31,                0.00203,                0.99306,                      1,                0.55935,             0.00028988,             0.00028988,             0.00028988
                     32,                0.00485,                0.99306,                      1,                0.55914,             0.00027575,             0.00027575,             0.00027575
                     33,                0.00404,                0.99306,                      1,                0.55876,             0.00026161,             0.00026161,             0.00026161
                     34,                 0.0067,                0.99306,                      1,                0.55767,             0.00024747,             0.00024747,             0.00024747
                     35,                0.00395,                0.99306,                      1,                0.55778,             0.00023334,             0.00023334,             0.00023334
                     36,                0.00372,                0.99306,                      1,                0.55794,              0.0002192,              0.0002192,              0.0002192
                     37,                0.00141,                0.99306,                      1,                0.55773,             0.00020506,             0.00020506,             0.00020506
                     38,                0.00909,                0.99306,                      1,                0.55773,             0.00019092,             0.00019092,             0.00019092
                     39,                0.00197,                0.99306,                      1,                0.55751,             0.00017679,             0.00017679,             0.00017679
                     40,                0.00189,                0.99306,                      1,                0.55762,             0.00016265,             0.00016265,             0.00016265
                     41,                0.00394,                0.99653,                      1,                0.55707,             0.00014851,             0.00014851,             0.00014851
                     42,                0.00329,                0.99653,                      1,                0.55675,             0.00013437,             0.00013437,             0.00013437
                     43,                0.00502,                0.99653,                      1,                0.55621,             0.00012024,             0.00012024,             0.00012024
                     44,                0.00268,                0.99653,                      1,                0.55615,              0.0001061,              0.0001061,              0.0001061
                     45,                0.00234,                0.99653,                      1,                 0.5561,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.00151,                0.99653,                      1,                0.55659,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.00136,                0.99653,                      1,                0.55653,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.00155,                0.99653,                      1,                0.55615,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                 0.0007,                0.99653,                      1,                 0.5561,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.00268,                0.99653,                      1,                0.55664,             2.1277e-05,             2.1277e-05,             2.1277e-05
